ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
752,BTC-USDT,SHORT,STANDARD,15,95712.791400,95904.408600,94253.500000,95443.400000,TIME,0.02,0.01,1.41,0.0000,London
753,ADA-USDT,SHORT,STANDARD,15,0.398002,0.398798,0.378910,0.398798,SL,-0.05,-0.03,-1.00,0.0000,London
754,APT-USDT,SHORT,STANDARD,15,1.827870,1.831530,1.746200,1.831530,SL,-0.05,-0.03,-1.00,0.0000,London
755,ARB-USDT,SHORT,STANDARD,15,0.212088,0.212512,0.203000,0.212512,SL,-0.05,-0.03,-1.00,0.0000,London
756,OP-USDT,SHORT,STANDARD,15,0.345154,0.345845,0.324900,0.345845,SL,-0.05,-0.03,-1.00,0.0000,London
757,SUI-USDT,SHORT,STANDARD,15,1.801297,1.804903,1.707900,1.804903,SL,-0.05,-0.03,-1.00,0.0000,London
758,ADA-USDT,SHORT,STANDARD,15,0.398002,0.398798,0.378910,0.398798,SL,-0.05,-0.03,-1.00,0.0000,NY
759,LINK-USDT,SHORT,TRAP_LIQ_SWEEP,50,13.766220,13.793780,13.416000,13.793780,SL,-0.17,-0.09,-1.00,0.2911,NY
760,DOT-USDT,SHORT,STANDARD,15,2.231766,2.236234,2.054000,2.200000,TIME,0.19,0.10,7.11,0.0000,NY
761,NEAR-USDT,SHORT,STANDARD,15,1.799199,1.802801,1.672300,1.782700,TIME,0.12,0.06,4.58,0.0000,NY
762,APT-USDT,SHORT,STANDARD,15,1.885912,1.889688,1.746200,1.889688,SL,-0.05,-0.03,-1.00,0.0000,NY
763,ARB-USDT,SHORT,STANDARD,15,0.216184,0.216616,0.203000,0.216616,SL,-0.05,-0.03,-1.00,0.0000,NY
764,OP-USDT,SHORT,STANDARD,15,0.352148,0.352852,0.324900,0.349200,TIME,0.10,0.06,4.18,0.0000,NY
765,SUI-USDT,SHORT,STANDARD,15,1.805992,1.809608,1.707900,1.794000,TIME,0.08,0.04,3.32,0.0000,NY
766,PAXG-USDT,SHORT,STANDARD,15,4623.372000,4632.628000,4554.200000,4605.730000,TIME,0.04,0.02,1.91,0.0000,NY
767,BTC-USDT,SHORT,STANDARD,15,95513.391000,95704.609000,94828.000000,94973.600000,TIME,0.06,0.03,2.82,0.0000,London
768,ETH-USDT,SHORT,STANDARD,15,3325.201470,3331.858530,3285.700000,3331.858530,SL,-0.05,-0.03,-1.00,0.0000,London
769,XRP-USDT,LONG,STANDARD,15,2.048346,2.044254,2.082500,2.044254,SL,-0.05,-0.03,-1.00,0.0000,London
770,DOGE-USDT,LONG,STANDARD,15,0.136867,0.136593,0.139970,0.136593,SL,-0.05,-0.03,-1.00,0.0000,London
771,LINK-USDT,LONG,STANDARD,15,13.630617,13.603383,13.891000,13.717000,TIME,0.07,0.04,3.17,0.0000,London
